ID,Carats,Cert,Clarity,Color,Cut,Depth,Fluroescence,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Price,Retail,Proj Profit,Profit Perc
174,0.4,AGSL,SI1,J, ,62,Faint,,4.75x4.72x2.94,Very good,Botswana,Marquise,Excellent,,1,$810,$737,"$1,321",$585,79%
178,0.4,,SI2,H, ,63,None,,4.68x4.66x2.94,Excellent,Other/Unknown,Emerald,Excellent,,1,,$855,"$1,271",$417,49%
179,0.4,AGSL,SI1,I, ,,None,,4.69*4.64x3,Excellent,Botswana,Princess,Very good,,1,,$936,"$1,358",$423,45%
194,0.41,GemEx,SI1,J, ,63.1,Faint,FALSE,4.73x4.69x2.97,Excellent,Botswana,Round,Very good,58,1,,$765,"$1,280",$516,67%
204,0.4,AGSL,VVS1,J, ,,None,,4.62x4.59x2.97,Very good,Angola,Round,Good,,1,,$746,"$1,280",$535,72%
209,0.41,AGSL,SI2,J, ,62.7,,,4.72x4.74x2.97, ,South Africa,Round, ,,1,,$763,"$1,299",$537,70%
210,0.4,AGSL,VS1,J, ,63.2,Medium Bl..,,4.67x4.65x2.95,Very good,Botswana,Round,Very good,57,2,$808,$735,"$1,367",$633,86%
211,0.41,AGSL,VVS2,J, ,62.3,,,4.78x4.74x2.97,Excellent,South Africa,Princess,Very good,58,1,,$783,"$1,327",$544,69%
220,0.4,AGSL,SI2,E, ,63.3,None,,4.6x4.64x2.92, ,Russia,Round, ,57,1,,$811,"$1,079",$268,33%
222,0.4,,SI2,E, ,61.4,None,,4.74x4.75x2.92, ,Botswana,Emerald, ,59,1,,$905,"$1,112",$207,23%
227,0.4,AGSL,SI2,E, ,,None,,4.69x4.74x2.94, ,Russia,Radiant, ,57,1,,$865,$925,$60,7%
229,0.4,,VS2,J, ,59.3, ,,4.77x4.8x2.84,Excellent,Russia,Princess,Excellent,,1,$870,$791,"$1,390",$600,76%
230,0.4,AGSL,SI2,E, ,,Faint,,4.83X4.86x2.81, ,Botswana,Round, ,,1,,$891,"$1,481",$590,66%
232,0.4,AGSL,SI2,E, ,62,None,,4.68x4.7x2.91, ,South Africa,ROUND, ,56,1,,$798,"$1,019",$222,28%
233,0.4,AGSL,SI2,E, ,,Faint,,4.7x4.74x2.93, ,Russia,Asscher, ,56,1,,$853,$952,$99,12%
235,0.4,AGSL,SI2,E, ,63.6,,,4.65x4.67x2.97, ,South Africa,Round, ,55,1,,$830,"$1,051",$222,27%
238,0.4,AGSL,SI2,E, ,63.2,None,FALSE,4.62x4.65x2.93, ,Botswana,Round, ,,1,,$800,"$1,118",$318,40%
239,0.5,AGSL,VS1,M, ,64.1,,,5.02x5*3.21,Very good,Australia,Round,Very good,,1,,"$1,097","$1,597",$500,46%
244,0.4,AGSL,VS2,I, ,62.5,None,FALSE,4.66x4.65x2.91,Very good,DR Congo,Radiant,Very good,59,1,,$841,"$1,311",$470,56%
245,0.4,AGSL,SI2,F, ,61.7,None,,4.73x4.72x2.91,Very good,Canada,Round,Very good,,1,,$841,"$1,369",$528,63%
246,0.43,,SI2,H, ,62.4,Faint,,4.81x4.79+2.99,Excellent,Russia,Oval,Excellent,57,1,,$941,"$1,477",$537,57%
248,0.4,AGSL,SI1,G, ,63.8,Strong Bl..,,4.67x4.63x2.97,Very good,Australia,Asscher,Excellent,56,1,,$867,"$1,323",$456,53%
262,0.4,AGSL,SI1,F, ,64.6,None,,4.65x4.62x2.99,Very good,Russia,Oval,Excellent,56,1,$976,$887,"$1,584",$697,79%
264,0.41,AGSL,SI2,E, ,,None,,4.67x4.69x2.98, ,Russia,Emerald, ,59,1,,$830,"$1,113",$283,34%
268,0.4,AGSL,SI1,I, ,63,,,4.67x4.66x2.94,Excellent,Botswana,ROUND,Very good,58,1,,$939,"$1,354",$415,44%
272,0.4,AGSL,SI1,I, ,,None,,4.72x4.68x2.96,Very good,Australia,Round,Very good,,1,,$953,"$1,396",$443,46%
273,0.51,AGSL,SI1,M, ,62.6,Faint,,5.09x5.04x3.17,Very good,Russia,Round,Very good,,2,,"$1,194","$1,352",$158,13%
274,0.41,AGSL,SI2,F, ,61.9,,,4.69x4.75*2.92, ,Russia,Round, ,59,1,,$873,"$1,253",$380,44%
284,0.4,AGSL,SI2,F, ,61.9,None,FALSE,4.73x4.74x2.93, ,Russia,Round, ,56,1,,$895,"$1,415",$520,58%
292,0.4,AGSL,SI1,F, ,,,,4.62x4.61x3.01,Very good,Australia,Pear,Excellent,57,1,,$900,"$1,459",$559,62%
293,0.4,GemEx,SI2,H, ,,None,,4.77x4.74x2.89,Excellent,DR Congo,Round,Excellent,58,1,,$883,"$1,290",$407,46%
296,0.4,AGSL,SI1,I, ,,None,,4.73x4.71x2.94,Very good,Russia,Round,Very good,58,1,,$940,"$1,556",$616,65%
299,0.4,AGSL,SI1,H, ,63.2,None,,4.7x4.68x2.97,Very good,Canada,Emerald,Very good,55,1,,$920,"$1,521",$601,65%
301,0.4,AGSL,VS1,I, ,64.8,None,,4.63x4.6x2.99,Very good,Australia,Round,Very good,56,1,$937,$852,"$1,495",$643,76%
302,0.42,AGSL,SI1,I, ,60.8,Medium Bl..,,4.87x4.84x2.95,Excellent,Canada,Oval,Excellent,58,1,,$902,"$1,579",$677,75%
305,0.41,AGSL,VS2,J, ,60.5,None,,4.84x4.81x2.92,Excellent,Other/Unknown,Round,Excellent,58,1,$884,$804,"$1,461",$657,82%
308,0.4,AGSL,SI1,I, ,62.1,None,,4.75x4.73x2.94,Very good,Angola,Round,Excellent,,1,,$947,"$1,085",$139,15%
309,0.4,AGSL,SI1,F, ,64.1,None,FALSE,4.69x4.66x2.99,Very good,Other/Unknown,Round,Very good,,1,,$858,"$1,502",$645,75%
310,0.4,AGSL,SI1,I, ,63,Faint,,4.68x4.64x2.94,Very good,Canada,Princess,Very good,60,1,,$900,"$1,383",$483,54%
315,0.4,AGSL,SI1,F, ,59.2,Medium Ye..,,4.83x4.8x2.85,Very good,Australia,Oval ,Very good,63,1,,$948,"$1,459",$511,54%
316,0.41,AGSL,SI1,I, ,63.4,None,,4.7x4.69x2.98,Very good,Botswana,Round,Very good,57,1,,$953,"$1,418",$465,49%
319,0.43,AGSL,IF,K, ,60.8,Medium Bl..,,4.9x4.87x2.97,Excellent,Russia,Round,Excellent,59,1,$828,$753,"$1,431",$678,90%
320,0.4,AGSL,SI1,G, ,63.6,None,,4.65+4.64*2.95,Very good,DR Congo,Round,Excellent,59,1,,$917,"$1,286",$369,40%
321,0.41,AGSL,SI2,G, ,61.9,,FALSE,4.75x4.74x2.94,Very good,Russia,Round,Excellent,,1,,$955,"$1,416",$461,48%
325,0.4,AGSL,SI2,G, ,62.9,,,4.64x4.69x2.94, ,Russia,Round, ,,1,,$891,"$1,309",$418,47%
336,0.41,AGSL,SI1,I, ,,Faint,,4.76*4.75x2.95,Excellent,Botswana,Round,Excellent,,1,,$943,"$1,489",$547,58%
337,0.4,AGSL,SI2,F, ,61.7,,,4.74x4.71x2.92,Very good,Russia,Round,Excellent,60,1,,$883,"$1,272",$390,44%
341,0.41,AGSL,SI1,I, ,63.7,None,,4.71x4.68x2.99,Excellent,Russia,Princess,Excellent,57,1,,$953,"$1,372",$420,44%
347,0.4,AGSL,VS2,H, ,,None,,4.61x4.57x2.98,Excellent,Botswana,Round,Good,,1,"$1,051",$955,"$1,697",$742,78%
352,0.4,AGSL,SI1,F, ,63.2,None,,4.7x4.67x2.96,Very good,Angola,Round,Very good,56,1,,$886,"$1,229",$343,39%
357,0.4,AGSL,VS1,I, ,61.9,None,,4.71x4.68x2.91,Very good,Canada,Round,Good,57,1,$970,$882,"$1,606",$724,82%
359,0.4,AGSL,VS2,I, ,63.4,Faint,,4.67x4.64x2.95,Very good,South Africa,Radiant,Very good,58,1,,$840,"$1,384",$545,65%
361,0.4,AGSL,VVS2,I, ,62.7,None,,4.69x4.67x2.93,Very good,Canada,Princess,Very good,60,1,,$845,"$1,335",$490,58%
362,0.4,AGSL,VS1,I, ,62.4,Strong Bl..,,4.73x4.69x2.94,Excellent,Russia,Cushion,Good,,1,$995,$905,"$1,735",$831,92%
366,0.4,AGSL,VS2,I, ,62.9,None,,4.73*4.7x2.97,Excellent,South Africa,Radiant,Very good,,1,,$869,"$1,484",$615,71%
370,0.41,AGSL,SI2,H, ,61.9,,,4.77x4.79x2.95, ,Angola,Pear, ,58,1,,$879,$912,$33,4%
373,0.41,AGSL,SI2,G, ,59.6,None,,4.83x4.88x2.89, ,Russia,Round, ,59,1,,$999,"$1,608",$609,61%
376,0.41,,VS1,J, ,62.5,Faint,,4.77x4.74x2.97,Excellent,Russia,Round,Excellent,,1,$873,$794,"$1,392",$599,75%
380,0.42,AGSL,SI2,G, ,62.6,None,,4.8x4.75x2.99,Very good,Angola,Round,Very good,,1,,$931,$802,-$130,-14%
383,0.4,AGSL,SI1,E, ,64.1,,,4.59x4.63x2.96, ,Russia,Oval, ,57,1,,$900,"$1,306",$407,45%
388,0.4,AGSL,VS2,I, ,,None,,4.64x4.61x2.92,Very good,Russia,Round,Very good,,1,,$844,"$1,417",$573,68%
389,0.41,AGSL,SI1,H, ,61.1,Medium Bl..,,4.82x4.8x2.94,Excellent,Angola,Round,Very good,58,1,,$927,"$1,102",$175,19%
396,0.44,AGSL,SI2,I, ,,None,,4.89x4.87x3.04,Excellent,Russia,Oval ,Excellent,57,1,"$1,046",$951,"$1,724",$773,81%
399,0.4,AGSL,SI1,F, ,62.1,Medium Bl..,,4.73x4.72x2.93,Good,Canada,Round,Excellent,,1,$949,$863,"$1,605",$742,86%
401,0.4,AGSL,SI1,G, ,62.1,,,4.7x4.68X2.92,Excellent,Russia,Round,Very good,59,1,,$930,"$1,475",$545,59%
407,0.4,AGSL,SI2,I, ,61.1,None,,4.74x4.76x2.91, ,Botswana,Princess, ,58,1,,$932,"$1,325",$393,42%
412,0.4,AGSL,SI2,F, ,,None,,4.74x4.71x2.95,Very good,Canada,Radiant,Very good,,1,,$832,"$1,225",$393,47%
414,0.4,AGSL,SI1,G, ,62.4,None,,4.72x4.69x2.94,Excellent,Russia,Round,Very good,58,1,,$939,"$1,637",$698,74%
419,0.4,AGSL,SI1,F, ,62.7,None,,4.67x4.62*2.91,Very good,Canada,Round,Very good,59,1,$958,$871,"$1,631",$760,87%
420,0.4,AGSL,VVS1,I, ,63.2,None,,4.66x4.64x2.94,Excellent,Canada,Emerald,Very good,,1,,$853,"$1,398",$546,64%
421,0.4,GemEx,SI2,E, ,61.7,None,FALSE,4.7x4.68x2.9,Excellent,Botswana,Round,Very good,58,1,,$831,"$1,184",$353,43%
422,0.4,AGSL,SI1,F, ,63,None,,4.7x4.67x2.95,Very good,Russia,Princess,Good,55,1,$969,$881,"$1,678",$798,91%
423,0.41,AGSL,SI2,F, ,62.1,None,,4.74x4.77x2.95, ,Canada,Round, ,,1,,$907,"$1,382",$475,52%
427,0.41,AGSL,SI2,F, ,62.7,Faint,,4.71x4.75x2.97, ,Botswana,Princess, ,,1,,$864,"$1,254",$390,45%
429,0.4,AGSL,VS2,I, ,62.6,Faint,,4.72x4.67x2.94,Excellent,Russia,Round,Very good,58,1,,$857,"$1,422",$565,66%
436,0.4,AGSL,SI1,F, ,58.9,None,,4.87x4.85x2.86,Excellent,Russia,Marquise,Excellent,,1,,$972,"$1,656",$684,70%
441,0.41,AGSL,SI2,H, ,61.8,,,4.76x4.79x2.95, ,Russia,Round, ,58,1,,$884,"$1,358",$474,54%
451,0.4,AGSL,SI1,H, ,62.3,None,,4.72x4.7x2.93,Excellent,Australia,Round,Very good,,1,,$935,"$1,619",$684,73%
455,0.4,AGSL,SI1,H, ,59.1,None,,4.84x4.82x2.85,Excellent,Russia,Princess,Very good,60,1,,$970,"$1,545",$575,59%
459,0.4,AGSL,SI2,D, ,59.7,Medium Bl..,,4.82x4.79x2.87,Very good,DR Congo,Round,Very good,,1,,"$1,083","$1,598",$516,48%
460,0.42,AGSL,SI2,F, ,61.8,,,4.83x4.8x2.98,Very good,Russia,Round,Very good,59,1,,$883,"$1,514",$631,72%
468,0.44,AGSL,VS2,J, ,61.5,None,,4.9x4.89*3.01,Excellent,Russia,Princess,Excellent,58,1,,$846,"$1,456",$610,72%
470,0.43,AGSL,SI1,I, ,62.4,None,,4.84x4.81x3.01,Excellent,Angola,Round,Excellent,56,1,,$992,"$1,258",$266,27%
476,0.4,AGSL,SI1,G, ,62.5,None,FALSE,4.72x4.68x2.94,Excellent,Botswana,Round,Excellent,59,1,,$940,"$1,450",$510,54%
481,0.41,AGSL,SI1,F, ,63.4,None,,4.7x4.66x2.97,Excellent,Australia,Round,Very good,,1,$989,$899,"$1,666",$767,85%
483,0.41,AGSL,SI2,F, ,62.1,None,,4.77x4.74x2.95,Excellent,Angola,Pear,Excellent,57,2,,$953,"$1,109",$156,16%
484,0.4,AGSL,SI2,G, ,61.1,None,,4.75x4.76x2.91, ,Russia,Round, ,,1,,$953,"$1,383",$430,45%
486,0.41,AGSL,VVS2,I, ,62.5,None,,4.79x4.77x2.99,Very good,Angola,Round,Very good,56,1,,$940,"$1,491",$551,59%
495,0.4,AGSL,SI1,E, ,63.7,None,,4.71x4.67x2.99,Very good,Russia,Round,Very good,55,2,,$922,"$1,389",$467,51%
497,0.45,AGSL,VS1,J, ,61.6,None,,4.96x4.93x3.04,Excellent,Botswana,Round,Very good,57,1,$974,$886,"$1,587",$701,79%
500,0.4,,SI1,H, ,61.1,None,,4.78x4.75x2.91,Excellent,Australia,Round,Excellent,58,1,,$979,"$1,638",$659,67%
504,0.4,AGSL,SI2,E, ,,None,,4.83x4.8x2.83,Very good,Russia,Round,Very good,61,1,,$894,"$1,354",$460,51%
506,0.4,,SI1,F, ,62.4,Faint,,4.71x4.69x2.94,Very good,Other/Unknown,Emerald,Excellent,,1,$938,$853,"$1,564",$711,83%
508,0.41,AGSL,VS2,I, ,61.3,None,,4.8x4.78x2.94,Very good,Australia,Round,Excellent,58,1,,$907,"$1,526",$619,68%
517,0.42,AGSL,SI2,E, ,,None,,4.76x4.8x3.02, ,Botswana,Oval , ,56,1,,$911,"$1,264",$353,39%
522,0.4,AGSL,SI2,H, ,62.1,None,,4.7x4.75x2.94, ,Russia,Round, ,57,1,,$938,"$1,299",$362,39%
524,0.4,AGSL,VS1,I, ,62.7,None,,4.69x4.67x2.94,Excellent,Angola,Round,Very good,60,1,,$858,"$1,327",$470,55%
528,0.4,AGSL,SI1,I, ,62.2,None,,4.75x4.76x2.96, ,Russia,Round, ,56,1,,"$1,034","$1,669",$636,61%
529,0.5,AGSL,VS1,K, ,,None,,4.96x4.89x3.16,Very good,Botswana,Round,Good,,1,,"$1,065","$1,239",$174,16%
530,0.4,AGSL,SI2,E, ,59.6,None,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,58,1,,$896,"$1,130",$234,26%
531,0.4,AGSL,SI2,E, ,59.8,None,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,,1,,$896,"$1,147",$251,28%
532,0.41,AGSL,VS1,I, ,61.7,None,,4.8x4.76x2.95,Excellent,Russia,Round,Good,56,1,,$946,"$1,639",$693,73%
533,0.4,AGSL,SI2,E, ,62.2,None,FALSE,4.76x4.73x2.95,Excellent,Canada,Round,Very good,56,1,,$868,"$1,044",$177,20%
545,0.4,AGSL,SI2,D, ,64,Faint,,4.64x4.61x2.96,Very good,Russia,Asscher,Excellent,,1,,"$1,006","$1,383",$377,37%
551,0.43,AGSL,SI2,E, ,61.9,,,4.83x4.84x2.99, ,Russia,Round, ,58,1,,$953,"$1,477",$524,55%
552,0.4,GemEx,SI2,E, ,,None,,4.72x4.76x2.93, ,Botswana,Round, ,,1,,$858,"$1,063",$206,24%
554,0.44,,SI2,F, ,62.2,None,,4.9x4.88x3.04,Very good,Australia,Round,Excellent,57,1,,$979,"$1,714",$735,75%
559,0.41,AGSL,SI1,G, ,62.1,None,,4.75x4.74x2.95,Very good,Russia,Marquise,Excellent,58,1,,$998,"$1,661",$663,66%
566,0.4,AGSL,SI1,H, ,60.1,None,,4.8x4.76x2.87,Excellent,Russia,Round,Excellent,60,1,,$957,"$1,567",$610,64%
580,0.4,,SI2,G, ,60.3,None,,4.77x4.79x2.88, ,Australia,Round, ,60,1,,$927,"$1,419",$492,53%
581,0.4,AGSL,VVS2,H, ,63.9,None,,4.63x4.62x2.96,Excellent,Angola,Radiant,Very good,58,1,,$941,"$1,570",$629,67%
583,0.4,AGSL,SI1,D, ,64.9,,,4.6x4.56x2.98,Very good,DR Congo,Round,Good,59,1,,"$1,124","$1,505",$381,34%
584,0.41,AGSL,VS2,H, ,,Medium Bl..,TRUE,4.86x4.83x2.91,Excellent,Angola,Round,Excellent,59,1,,"$1,052","$1,484",$432,41%
595,0.43,AGSL,SI2,F, ,62.6,None,,4.82x4.85x3.03, ,Russia,Round, ,57,1,"$1,062",$965,"$1,767",$802,83%
609,0.42,,SI1,G, ,60.3,None,,4.89x4.87x2.95,Excellent,Angola,Round,Excellent,58,1,,$974,"$1,337",$364,37%
616,0.41,AGSL,VVS1,I, ,61.9,None,,4.81x4.79x2.97,Excellent,Russia,Round,Very good,57,1,,$923,"$1,574",$652,71%
620,0.5,AGSL,SI2,K, ,62.9,None,,5.06x5.02x3.17,Very good,Botswana,Pear,Very good,,1,,"$1,091","$1,417",$326,30%
623,0.46,AGSL,SI1,J, ,62.7,None,,4.89x4.91x3.07, ,Russia,Round, ,58,1,"$1,008",$917,"$1,692",$776,85%
635,0.4,AGSL,SI1,E, ,63.2,,,4.71*4.68x2.96,Very good,Canada,Oval,Very good,,1,,$904,"$1,369",$465,51%
642,0.41,AGSL,SI2,D, ,63.4,None,,4.71x4.68x2.98,Excellent,Russia,ROUND,Very good,58,2,,"$1,013","$1,661",$648,64%
644,0.4,AGSL,VS2,H, ,,,,4.75x4.73x2.94,Excellent,DR Congo,Oval ,Excellent,59,1,"$1,030",$937,"$1,727",$791,84%
648,0.4,AGSL,SI1,D, ,60.8,None,,4.73x4.68x2.86,Very good,Botswana,Round,Good,62,1,,"$1,064","$1,779",$715,67%
651,0.4,AGSL,SI1,D, ,63,Faint,FALSE,4.72x4.68x2.96,Very good,Russia,Round,Very good,58,1,,"$1,124","$1,762",$639,57%
653,0.4,AGSL,VS1,G, ,64.1,None,,4.66x4.62x2.97,Excellent,Russia,Round,Very good,57,1,"$1,041",$946,"$1,703",$757,80%
658,0.42,AGSL,SI2,D, ,60.9,None,,4.84x4.88x2.96, ,Russia,Radiant, ,56,1,"$1,315","$1,195","$2,168",$973,81%
659,0.4,GemEx,SI1,E, ,62.5,None,,4.72x4.7x2.95,Very good,Australia,Round,Good,,1,,$948,"$1,423",$475,50%
666,0.4,AGSL,SI1,E, ,61.2,None,,4.76x4.72x2.9,Excellent,DR Congo,Marquis,Very good,59,1,,$953,"$1,158",$206,22%
668,0.4,AGSL,VS2,G, ,63.7,None,,4.72x4.68x2.99,Very good,Australia,Princess,Very good,,1,,"$1,005","$1,729",$724,72%
669,0.42,AGSL,SI2,E, ,60.7,None,,4.89x4.86x2.96,Excellent,South Africa,Round,Very good,57,1,,$903,"$1,425",$522,58%
670,0.4,AGSL,VS2,G, ,62.4,None,,4.7x4.68x2.92,Excellent,Russia,Radiant,Excellent,,1,"$1,093",$994,"$2,042","$1,049",106%
671,0.4,AGSL,VS2,F, ,63.8,None,,4.69x4.64x2.97,Excellent,Angola,Uncut,Very good,55,1,,$898,$861,-$37,-4%
677,0.51,AGSL,SI1,L, ,61.9,,,5.14x5.12x3.17,Excellent,Russia,Round,Excellent,57,1,,"$1,085","$1,694",$609,56%
681,0.46,AGSL,SI2,F, ,63.8,,,4.8x4.84x3.07, ,Russia,Oval, ,,1,"$1,060",$964,"$1,732",$768,80%
684,0.4,AGSL,SI2,E, ,62.1,None,,4.74x4.72x2.94,Excellent,Botswana,Round,Excellent,,1,,$922,"$1,055",$133,14%
687,0.41,AGSL,SI2,D, ,60.8,None,TRUE,4.8x4.79x2.92,Very good,DR Congo,ROUND,Excellent,59,1,,"$1,065","$1,863",$798,75%
691,0.4,,VVS2,F, ,64.9,,,4.62x4.56x2.98,Excellent,Botswana,Oval,Very good,56,1,,$969,"$1,608",$639,66%
696,0.43,AGSL,SI2,D, ,62.2,None,,4.83x4.81x3,Very good,Russia,Emerald,Excellent,56,1,,"$1,106","$1,908",$803,73%
698,0.44,AGSL,SI1,F, ,,Medium Bl..,FALSE,4.87x4.85x3.03,Excellent,Russia,Radiant,Excellent,57,2,"$1,063",$967,"$1,758",$792,82%
705,0.43,AGSL,SI2,E, ,,None,,4.81x4.83x3.01, ,Russia,Emerald, ,,1,,$972,"$1,404",$432,44%
707,0.4,,VS1,F, ,63.4,,,4.69x4.66x2.97,Very good,Botswana,Round,Very good,,1,,$970,"$1,697",$727,75%
710,0.4,AGSL,SI1,H, ,,None,,4.71x4.73x2.95, ,Russia,Emerald, ,56,1,,$965,"$1,490",$525,54%
714,0.43,,SI2,G, ,61.9, ,,4.84x4.89x3.01,Excellent,Russia,Round,Very good,55,1,,$973,"$1,480",$508,52%
717,0.4,AGSL,VVS2,F, ,,None,,4.66x4.61x2.97,Very good,Russia,Round,Very good,59,1,"$1,106","$1,006","$1,957",$951,95%
724,0.4,GemEx,VS2,E, ,63.5,None,FALSE,4.64x4.58x2.93,Very good,Australia,Pear,Good,,1,,"$1,120","$1,836",$716,64%
725,0.4,AGSL,VS2,G, ,,None,,4.78+4.73x2.93,Very good,Australia,Round,Very good,56,1,"$1,114","$1,013","$1,918",$905,89%
726,0.42,AGSL,SI2,E, ,61.7,None,,4.86x4.83x2.99,Excellent,Russia,Round,Excellent,57,1,,$997,"$1,508",$511,51%
727,0.4,AGSL,SI1,F, ,,,,4.67x4.7x2.88,Very good,Australia,Round,Very good,,1,,$905,"$1,497",$592,65%
734,0.41,AGSL,VS2,G, ,61.5,Faint,FALSE,4.78x4.76x2.94,Excellent,Russia,Round,Very good,60,1,,"$1,038","$1,810",$773,74%
737,0.4,AGSL,VS2,G, ,61.8,,,4.73+4.71x2.92,Very good,DR Congo,Round,Very good,60,1,,$991,"$1,491",$500,50%
738,0.4,AGSL,SI1,D, ,61,Medium Bl..,,4.8x4.78x2.93,Excellent,Russia,Emerald,Very good,,1,"$1,209","$1,100","$2,119","$1,020",93%
743,0.4,AGSL,VVS2,H, ,62.4,Medium Bl..,,4.75x4.72x2.96,Excellent,Angola,Round,Excellent,57,1,"$1,031",$938,"$1,764",$826,88%
