"","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Offers"
"319",0.43,"AGSL","IF","K"," ",60.8,"Medium Bl..",NA,"4.9x4.87x2.97","Excellent","Russia","Round","Excellent",59,"1",NA
"320",0.4,"AGSL","SI1","G"," ",63.6,"None",NA,"4.65+4.64*2.95","Very good","DR Congo","Round","Excellent",59,"1",NA
"321",0.41,"AGSL","SI2","G"," ",61.9,NA,FALSE,"4.75x4.74x2.94","Very good","Russia","Round","Excellent",NA,"1",NA
"325",0.4,"AGSL","SI2","G"," ",62.9,NA,NA,"4.64x4.69x2.94"," ","Russia","Round"," ",NA,"1",NA
"336",0.41,"AGSL","SI1","I"," ",NA,"Faint",NA,"4.76*4.75x2.95","Excellent","Botswana","Round","Excellent",NA,"1",NA
"337",0.4,"AGSL","SI2","F"," ",61.7,NA,NA,"4.74x4.71x2.92","Very good","Russia","Round","Excellent",60,"1",NA
"341",0.41,"AGSL","SI1","I"," ",63.7,"None",NA,"4.71x4.68x2.99","Excellent","Russia","Princess","Excellent",57,"1",NA
"347",0.4,"AGSL","VS2","H"," ",NA,"None",NA,"4.61x4.57x2.98","Excellent","Botswana","Round","Good",NA,"1",NA
"352",0.4,"AGSL","SI1","F"," ",63.2,"None",NA,"4.7x4.67x2.96","Very good","Angola","Round","Very good",56,"1",NA
"357",0.4,"AGSL","VS1","I"," ",61.9,"None",NA,"4.71x4.68x2.91","Very good","Canada","Round","Good",57,"1",NA
"359",0.4,"AGSL","VS2","I"," ",63.4,"Faint",NA,"4.67x4.64x2.95","Very good","South Africa","Radiant","Very good",58,"1",NA
"361",0.4,"AGSL","VVS2","I"," ",62.7,"None",NA,"4.69x4.67x2.93","Very good","Canada","Princess","Very good",60,"1",NA
"362",0.4,"AGSL","VS1","I"," ",62.4,"Strong Bl..",NA,"4.73x4.69x2.94","Excellent","Russia","Cushion","Good",NA,"1",NA
"366",0.4,"AGSL","VS2","I"," ",62.9,"None",NA,"4.73*4.7x2.97","Excellent","South Africa","Radiant","Very good",NA,"1",NA
"370",0.41,"AGSL","SI2","H"," ",61.9,NA,NA,"4.77x4.79x2.95"," ","Angola","Pear"," ",58,"1",NA
"373",0.41,"AGSL","SI2","G"," ",59.6,"None",NA,"4.83x4.88x2.89"," ","Russia","Round"," ",59,"1",NA
"376",0.41,"NA","VS1","J"," ",62.5,"Faint",NA,"4.77x4.74x2.97","Excellent","Russia","Round","Excellent",NA,"1",NA
"380",0.42,"AGSL","SI2","G"," ",62.6,"None",NA,"4.8x4.75x2.99","Very good","Angola","Round","Very good",NA,"1",NA
"383",0.4,"AGSL","SI1","E"," ",64.1,NA,NA,"4.59x4.63x2.96"," ","Russia","Oval"," ",57,"1",NA
"388",0.4,"AGSL","VS2","I"," ",NA,"None",NA,"4.64x4.61x2.92","Very good","Russia","Round","Very good",NA,"1",NA
"389",0.41,"AGSL","SI1","H"," ",61.1,"Medium Bl..",NA,"4.82x4.8x2.94","Excellent","Angola","Round","Very good",58,"1",NA
"396",0.44,"AGSL","SI2","I"," ",NA,"None",NA,"4.89x4.87x3.04","Excellent","Russia","Oval ","Excellent",57,"1",NA
"399",0.4,"AGSL","SI1","F"," ",62.1,"Medium Bl..",NA,"4.73x4.72x2.93","Good","Canada","Round","Excellent",NA,"1",NA
"401",0.4,"AGSL","SI1","G"," ",62.1,NA,NA,"4.7x4.68X2.92","Excellent","Russia","Round","Very good",59,"1",NA
"407",0.4,"AGSL","SI2","I"," ",61.1,"None",NA,"4.74x4.76x2.91"," ","Botswana","Princess"," ",58,"1",NA
"412",0.4,"AGSL","SI2","F"," ",NA,"None",NA,"4.74x4.71x2.95","Very good","Canada","Radiant","Very good",NA,"1",NA
"414",0.4,"AGSL","SI1","G"," ",62.4,"None",NA,"4.72x4.69x2.94","Excellent","Russia","Round","Very good",58,"1",NA
"419",0.4,"AGSL","SI1","F"," ",62.7,"None",NA,"4.67x4.62*2.91","Very good","Canada","Round","Very good",59,"1",NA
"420",0.4,"AGSL","VVS1","I"," ",63.2,"None",NA,"4.66x4.64x2.94","Excellent","Canada","Emerald","Very good",NA,"1",NA
"421",0.4,"GemEx","SI2","E"," ",61.7,"None",FALSE,"4.7x4.68x2.9","Excellent","Botswana","Round","Very good",58,"1",NA
"422",0.4,"AGSL","SI1","F"," ",63,"None",NA,"4.7x4.67x2.95","Very good","Russia","Princess","Good",55,"1",NA
"423",0.41,"AGSL","SI2","F"," ",62.1,"None",NA,"4.74x4.77x2.95"," ","Canada","Round"," ",NA,"1",NA
"427",0.41,"AGSL","SI2","F"," ",62.7,"Faint",NA,"4.71x4.75x2.97"," ","Botswana","Princess"," ",NA,"1",NA
"429",0.4,"AGSL","VS2","I"," ",62.6,"Faint",NA,"4.72x4.67x2.94","Excellent","Russia","Round","Very good",58,"1",NA
"436",0.4,"AGSL","SI1","F"," ",58.9,"None",NA,"4.87x4.85x2.86","Excellent","Russia","Marquise","Excellent",NA,"1",NA
"441",0.41,"AGSL","SI2","H"," ",61.8,NA,NA,"4.76x4.79x2.95"," ","Russia","Round"," ",58,"1",NA
"451",0.4,"AGSL","SI1","H"," ",62.3,"None",NA,"4.72x4.7x2.93","Excellent","Australia","Round","Very good",NA,"1",NA
"455",0.4,"AGSL","SI1","H"," ",59.1,"None",NA,"4.84x4.82x2.85","Excellent","Russia","Princess","Very good",60,"1",NA
"459",0.4,"AGSL","SI2","D"," ",59.7,"Medium Bl..",NA,"4.82x4.79x2.87","Very good","DR Congo","Round","Very good",NA,"1",NA
"460",0.42,"AGSL","SI2","F"," ",61.8,NA,NA,"4.83x4.8x2.98","Very good","Russia","Round","Very good",59,"1",NA
"468",0.44,"AGSL","VS2","J"," ",61.5,"None",NA,"4.9x4.89*3.01","Excellent","Russia","Princess","Excellent",58,"1",NA
"470",0.43,"AGSL","SI1","I"," ",62.4,"None",NA,"4.84x4.81x3.01","Excellent","Angola","Round","Excellent",56,"1",NA
"476",0.4,"AGSL","SI1","G"," ",62.5,"None",FALSE,"4.72x4.68x2.94","Excellent","Botswana","Round","Excellent",59,"1",NA
"481",0.41,"AGSL","SI1","F"," ",63.4,"None",NA,"4.7x4.66x2.97","Excellent","Australia","Round","Very good",NA,"1",NA
"483",0.41,"AGSL","SI2","F"," ",62.1,"None",NA,"4.77x4.74x2.95","Excellent","Angola","Pear","Excellent",57,"2",NA
"484",0.4,"AGSL","SI2","G"," ",61.1,"None",NA,"4.75x4.76x2.91"," ","Russia","Round"," ",NA,"1",NA
"486",0.41,"AGSL","VVS2","I"," ",62.5,"None",NA,"4.79x4.77x2.99","Very good","Angola","Round","Very good",56,"1",NA
"495",0.4,"AGSL","SI1","E"," ",63.7,"None",NA,"4.71x4.67x2.99","Very good","Russia","Round","Very good",55,"2",NA
"497",0.45,"AGSL","VS1","J"," ",61.6,"None",NA,"4.96x4.93x3.04","Excellent","Botswana","Round","Very good",57,"1",NA
"500",0.4,"NA","SI1","H"," ",61.1,"None",NA,"4.78x4.75x2.91","Excellent","Australia","Round","Excellent",58,"1",NA
"504",0.4,"AGSL","SI2","E"," ",NA,"None",NA,"4.83x4.8x2.83","Very good","Russia","Round","Very good",61,"1",NA
"506",0.4,"NA","SI1","F"," ",62.4,"Faint",NA,"4.71x4.69x2.94","Very good","Other/Unknown","Emerald","Excellent",NA,"1",NA
"508",0.41,"AGSL","VS2","I"," ",61.3,"None",NA,"4.8x4.78x2.94","Very good","Australia","Round","Excellent",58,"1",NA
"517",0.42,"AGSL","SI2","E"," ",NA,"None",NA,"4.76x4.8x3.02"," ","Botswana","Oval "," ",56,"1",NA
"522",0.4,"AGSL","SI2","H"," ",62.1,"None",NA,"4.7x4.75x2.94"," ","Russia","Round"," ",57,"1",NA
"524",0.4,"AGSL","VS1","I"," ",62.7,"None",NA,"4.69x4.67x2.94","Excellent","Angola","Round","Very good",60,"1",NA
"528",0.4,"AGSL","SI1","I"," ",62.2,"None",NA,"4.75x4.76x2.96"," ","Russia","Round"," ",56,"1",NA
"529",0.5,"AGSL","VS1","K"," ",NA,"None",NA,"4.96x4.89x3.16","Very good","Botswana","Round","Good",NA,"1",NA
"530",0.4,"AGSL","SI2","E"," ",59.6,"None",NA,"4.82x4.8x2.87","Excellent","Russia","Round","Very good",58,"1",NA
"531",0.4,"AGSL","SI2","E"," ",59.8,"None",NA,"4.82x4.8x2.87","Excellent","Russia","Round","Very good",NA,"1",NA
"532",0.41,"AGSL","VS1","I"," ",61.7,"None",NA,"4.8x4.76x2.95","Excellent","Russia","Round","Good",56,"1",NA
"533",0.4,"AGSL","SI2","E"," ",62.2,"None",FALSE,"4.76x4.73x2.95","Excellent","Canada","Round","Very good",56,"1",NA
"545",0.4,"AGSL","SI2","D"," ",64,"Faint",NA,"4.64x4.61x2.96","Very good","Russia","Asscher","Excellent",NA,"1",NA
"551",0.43,"AGSL","SI2","E"," ",61.9,NA,NA,"4.83x4.84x2.99"," ","Russia","Round"," ",58,"1",NA
"552",0.4,"GemEx","SI2","E"," ",NA,"None",NA,"4.72x4.76x2.93"," ","Botswana","Round"," ",NA,"1",NA
"554",0.44,"NA","SI2","F"," ",62.2,"None",NA,"4.9x4.88x3.04","Very good","Australia","Round","Excellent",57,"1",NA
"559",0.41,"AGSL","SI1","G"," ",62.1,"None",NA,"4.75x4.74x2.95","Very good","Russia","Marquise","Excellent",58,"1",NA
"566",0.4,"AGSL","SI1","H"," ",60.1,"None",NA,"4.8x4.76x2.87","Excellent","Russia","Round","Excellent",60,"1",NA
"580",0.4,"NA","SI2","G"," ",60.3,"None",NA,"4.77x4.79x2.88"," ","Australia","Round"," ",60,"1",NA
"581",0.4,"AGSL","VVS2","H"," ",63.9,"None",NA,"4.63x4.62x2.96","Excellent","Angola","Radiant","Very good",58,"1",NA
"583",0.4,"AGSL","SI1","D"," ",64.9,NA,NA,"4.6x4.56x2.98","Very good","DR Congo","Round","Good",59,"1",NA
"584",0.41,"AGSL","VS2","H"," ",NA,"Medium Bl..",TRUE,"4.86x4.83x2.91","Excellent","Angola","Round","Excellent",59,"1",NA
"595",0.43,"AGSL","SI2","F"," ",62.6,"None",NA,"4.82x4.85x3.03"," ","Russia","Round"," ",57,"1",NA
"609",0.42,"NA","SI1","G"," ",60.3,"None",NA,"4.89x4.87x2.95","Excellent","Angola","Round","Excellent",58,"1",NA
"616",0.41,"AGSL","VVS1","I"," ",61.9,"None",NA,"4.81x4.79x2.97","Excellent","Russia","Round","Very good",57,"1",NA
"620",0.5,"AGSL","SI2","K"," ",62.9,"None",NA,"5.06x5.02x3.17","Very good","Botswana","Pear","Very good",NA,"1",NA
"623",0.46,"AGSL","SI1","J"," ",62.7,"None",NA,"4.89x4.91x3.07"," ","Russia","Round"," ",58,"1",NA
"635",0.4,"AGSL","SI1","E"," ",63.2,NA,NA,"4.71*4.68x2.96","Very good","Canada","Oval","Very good",NA,"1",NA
"642",0.41,"AGSL","SI2","D"," ",63.4,"None",NA,"4.71x4.68x2.98","Excellent","Russia","ROUND","Very good",58,"2",NA
"644",0.4,"AGSL","VS2","H"," ",NA,NA,NA,"4.75x4.73x2.94","Excellent","DR Congo","Oval ","Excellent",59,"1",NA
"648",0.4,"AGSL","SI1","D"," ",60.8,"None",NA,"4.73x4.68x2.86","Very good","Botswana","Round","Good",62,"1",NA
"651",0.4,"AGSL","SI1","D"," ",63,"Faint",FALSE,"4.72x4.68x2.96","Very good","Russia","Round","Very good",58,"1",NA
"653",0.4,"AGSL","VS1","G"," ",64.1,"None",NA,"4.66x4.62x2.97","Excellent","Russia","Round","Very good",57,"1",NA
"658",0.42,"AGSL","SI2","D"," ",60.9,"None",NA,"4.84x4.88x2.96"," ","Russia","Radiant"," ",56,"1",NA
"659",0.4,"GemEx","SI1","E"," ",62.5,"None",NA,"4.72x4.7x2.95","Very good","Australia","Round","Good",NA,"1",NA
"666",0.4,"AGSL","SI1","E"," ",61.2,"None",NA,"4.76x4.72x2.9","Excellent","DR Congo","Marquis","Very good",59,"1",NA
"668",0.4,"AGSL","VS2","G"," ",63.7,"None",NA,"4.72x4.68x2.99","Very good","Australia","Princess","Very good",NA,"1",NA
"669",0.42,"AGSL","SI2","E"," ",60.7,"None",NA,"4.89x4.86x2.96","Excellent","South Africa","Round","Very good",57,"1",NA
"670",0.4,"AGSL","VS2","G"," ",62.4,"None",NA,"4.7x4.68x2.92","Excellent","Russia","Radiant","Excellent",NA,"1",NA
"671",0.4,"AGSL","VS2","F"," ",63.8,"None",NA,"4.69x4.64x2.97","Excellent","Angola","Uncut","Very good",55,"1",NA
"677",0.51,"AGSL","SI1","L"," ",61.9,NA,NA,"5.14x5.12x3.17","Excellent","Russia","Round","Excellent",57,"1",NA
"681",0.46,"AGSL","SI2","F"," ",63.8,NA,NA,"4.8x4.84x3.07"," ","Russia","Oval"," ",NA,"1",NA
"684",0.4,"AGSL","SI2","E"," ",62.1,"None",NA,"4.74x4.72x2.94","Excellent","Botswana","Round","Excellent",NA,"1",NA
"687",0.41,"AGSL","SI2","D"," ",60.8,"None",TRUE,"4.8x4.79x2.92","Very good","DR Congo","ROUND","Excellent",59,"1",NA
"691",0.4,"NA","VVS2","F"," ",64.9,NA,NA,"4.62x4.56x2.98","Excellent","Botswana","Oval","Very good",56,"1",NA
"696",0.43,"AGSL","SI2","D"," ",62.2,"None",NA,"4.83x4.81x3","Very good","Russia","Emerald","Excellent",56,"1",NA
"698",0.44,"AGSL","SI1","F"," ",NA,"Medium Bl..",FALSE,"4.87x4.85x3.03","Excellent","Russia","Radiant","Excellent",57,"2",NA
"705",0.43,"AGSL","SI2","E"," ",NA,"None",NA,"4.81x4.83x3.01"," ","Russia","Emerald"," ",NA,"1",NA
"707",0.4,"NA","VS1","F"," ",63.4,NA,NA,"4.69x4.66x2.97","Very good","Botswana","Round","Very good",NA,"1",NA
"710",0.4,"AGSL","SI1","H"," ",NA,"None",NA,"4.71x4.73x2.95"," ","Russia","Emerald"," ",56,"1",NA
"714",0.43,"NA","SI2","G"," ",61.9," ",NA,"4.84x4.89x3.01","Excellent","Russia","Round","Very good",55,"1",NA
"717",0.4,"AGSL","VVS2","F"," ",NA,"None",NA,"4.66x4.61x2.97","Very good","Russia","Round","Very good",59,"1",NA
"724",0.4,"GemEx","VS2","E"," ",63.5,"None",FALSE,"4.64x4.58x2.93","Very good","Australia","Pear","Good",NA,"1",NA
"725",0.4,"AGSL","VS2","G"," ",NA,"None",NA,"4.78+4.73x2.93","Very good","Australia","Round","Very good",56,"1",NA
"726",0.42,"AGSL","SI2","E"," ",61.7,"None",NA,"4.86x4.83x2.99","Excellent","Russia","Round","Excellent",57,"1",NA
"727",0.4,"AGSL","SI1","F"," ",NA,NA,NA,"4.67x4.7x2.88","Very good","Australia","Round","Very good",NA,"1",NA
"734",0.41,"AGSL","VS2","G"," ",61.5,"Faint",FALSE,"4.78x4.76x2.94","Excellent","Russia","Round","Very good",60,"1",NA
"737",0.4,"AGSL","VS2","G"," ",61.8,NA,NA,"4.73+4.71x2.92","Very good","DR Congo","Round","Very good",60,"1",NA
"738",0.4,"AGSL","SI1","D"," ",61,"Medium Bl..",NA,"4.8x4.78x2.93","Excellent","Russia","Emerald","Very good",NA,"1",NA
"743",0.4,"AGSL","VVS2","H"," ",62.4,"Medium Bl..",NA,"4.75x4.72x2.96","Excellent","Angola","Round","Excellent",57,"1",NA
"751",0.44,"AGSL","SI2","E"," ",62.2,"None",NA,"4.88x4.86x3.03","Very good","Russia","Round","Excellent",58,"2",NA
"755",0.51,"AGSL","SI1","K"," ",63.4,"None",NA,"5.07x5.03x3.21","Very good","Australia","ROUND","Very good",58,"1",NA
"763",0.6,"AGSL","SI2","L"," ",61.9,"None",FALSE,"5.36x5.33x3.31","Excellent","Angola","Round","Very good",NA,"1",NA
"764",0.41,"AGSL","SI1","E"," ",60,NA,NA,"4.84x4.8x2.89","Very good","Botswana","Emerald","Excellent",58,"1",NA
"772",0.4,"AGSL","VS2","G"," ",60,"None",NA,"4.81x4.78x2.88","Very good","DR Congo","Round","Very good",59,"1",NA
"779",0.4,"GemEx","VS2","G"," ",NA,"Faint",NA,"4.78x4.75x2.81","Excellent","Russia","Princess","Very good",63,"1",NA
"788",0.46,"AGSL","SI2","I"," ",62,"None",NA,"4.97x5x3.09"," ","Botswana","Round"," ",58,"1",NA
"795",0.43,"GemEx","SI2","E"," ",61.1,"None",NA,"4.9x4.88x2.99","Excellent","Canada","Round","Excellent",57,"1",NA
"803",0.5,"AGSL","SI2","J"," ",63.9,"Faint",NA,"5.05X5.01x3.21","Very good","DR Congo","Radiant","Excellent",NA,"1",NA
"804",0.42,"AGSL","SI1","E"," ",61.1,"None",NA,"4.8x4.81x2.94"," ","DR Congo","Round"," ",NA,"1",NA
"813",0.52,"AGSL","VS1","L"," ",62,"None",NA,"5.18x5.16x3.21","Very good","Russia","Radiant","Very good",58,"2",NA
"814",0.4,"AGSL","SI1","E"," ",61.5,"None",NA,"4.75x4.73x2.92","Excellent","Canada","Round","Excellent",NA,"1",NA
"819",0.4,"AGSL","SI1","D"," ",60.7,"None",NA,"4.79x4.72x2.88","Excellent","Russia","Round","Very good",62,"1",NA
