"","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Price","Retail"
"31",0.42,"AGSL","VS2","M"," ",61.4,"Faint",FALSE,"4.84x4.82x2.97","Excellent","Botswana","Radiant","Very good",NA,"1","$ 615","$ 925"
"32",0.41,"AGSL","SI2","K"," ",62.3,NA,FALSE,"4.75x4.73x2.95","Excellent","Russia","Emerald","Very good",57,"1","$ 615","$ 420"
"33",0.42,"AGSL","SI1","L"," ",60.9,"Strong Bl..",FALSE,"4.85x4.83x2.95","Very good","Russia","Pear","Very good",59,"1","$ 615","$ 1,015"
"34",0.4,"AGSL","SI1","K"," ",62.2,NA,FALSE,"4.73x4.67x2.92","Excellent","DR Congo","Emerald","Very good",61,"1","$ 615","$ 855"
"35",0.42,"AGSL","SI2","K"," ",62.7,"None",FALSE,"4.81x4.78x3.01","Very good","Canada","Radiant","Very good",57,"1","$ 615","$ 1,015"
"37",0.4,"AGSL","VS1","L"," ",64.4,"Faint",FALSE,"4.67x4.64x3","Excellent","Other/Unknown","Princess","Very good",56,"1","$ 620","$ 1,020"
"39",0.41,"AGSL","SI2","K"," ",61.1,"Faint",FALSE,"4.79x4.77x2.92","Very good","South Africa","Round","Excellent",59,"1","$ 625","$ 965"
"40",0.41,"AGSL","SI1","K"," ",61.3,"Medium Bl..",FALSE,"4.8X4.77x2.93","Excellent","South Africa","Princess","Excellent",60,"1","$ 625","$ 990"
"41",0.41,"AGSL","VS1","M"," ",NA,"Faint",FALSE,"4.78x4.75x2.95","Excellent","South Africa","Round","Very good",NA,"1","$ 625","$ 895"
"42",0.4,"AGSL","VS1","K"," ",61.1,NA,FALSE,"4.74x4.72x2.89","Very good","DR Congo","Round","Very good",NA,"1","$ 625","$ 815"
"43",0.41,"AGSL","VS2","L"," ",61.6,"None",FALSE,"4.79x4.77x2.94","Very good","Russia","Oval","Very good",56,"1","$ 625","$ 1,025"
"45",0.4,"AGSL","VVS1","L"," ",62.3,"Medium Bl..",TRUE,"4.69x4.64x2.9","Very good","Angola","Round","Very good",NA,"1","$ 630","$ 115"
"46",0.4,"AGSL","SI1","K"," ",62.7,"None",FALSE,"4.72x4.63x2.93","Very good","Russia","Round","Good",56,"1","$ 635","$ 1,045"
"47",0.42,"AGSL","SI1","L"," ",61.8,"None",FALSE,"4.84x4.81x2.98","Excellent","Russia","Princess","Excellent",58,"1","$ 635","$ 1,045"
"48",0.42,"AGSL","SI1","L"," ",NA,"Strong Bl..",FALSE,"4.82x4.79x2.94","Good","Russia","Round","Very good",NA,"1","$ 635","$ 1,045"
"49",0.4,"AGSL","VS2","K"," ",63.1,"Faint",FALSE,"4.68x4.63x2.94","Excellent","South Africa","Princess","Very good",58,"1","$ 635","$ 935"
"52",0.41,"AGSL","VS1","L"," ",61.3,"Medium Bl..",FALSE,"4.81x4.78x2.94","Excellent","Russia","Round","Very good",56,"1","$ 635","$ 1,045"
"53",0.4,"AGSL","VVS2","L"," ",63.4,NA,FALSE,"4.67x4.64x2.95","Very good","Russia","Round","Very good",58,"1","$ 635","$ 1,010"
"54",0.4,"AGSL","VS2","L"," ",62.2,"None",FALSE,"4.73x4.7x2.93","Very good","Russia","Round","Very good",57,"1","$ 635","$ 1,045"
"55",0.4,"NA","VS2","K"," ",NA,"None",FALSE,"4.69x4.68x2.86","Excellent","Australia","Round","Very good",NA,"1","$ 545","$ 625"
"56",0.4,"AGSL","SI1","K"," ",62.6,"None",FALSE,"4.75x4.72x2.96","Excellent","Russia","Pear","Very good",56,"1","$ 640","$ 1,060"
"57",0.4,"AGSL","SI1","K"," ",NA,"None",FALSE,"4.79x4.77x2.93","Excellent","Russia","Round","Excellent",57,"1","$ 640","$ 1,060"
"58",0.4,"AGSL","SI1","K"," ",60.4,"None",FALSE,"4.81x4.78x2.9","Excellent","Australia","Princess","Excellent",59,"1","$ 640","$ 1,060"
"59",0.41,"AGSL","VS2","L"," ",60,"None",FALSE,"4.84x4.83x2.9","Excellent","Russia","Round","Excellent",60,"1","$ 640","$ 1,055"
"62",0.4,"AGSL","VS1","L"," ",62.9,"None",FALSE,"4.72x4.7x2.96","Excellent","Russia","Round","Very good",NA,"1","$ 645","$ 1,065"
"63",0.4,"AGSL","VS1","L"," ",NA,"None",FALSE,"4.7x4.67x2.93","Excellent","Russia","Princess","Very good",NA,"1","$ 645","$ 1,065"
"65",0.41,"AGSL","SI1","K"," ",62.1,"None",FALSE,"4.8x4.77x2.97","Excellent","Angola","Round","Excellent",NA,"2","$ 650","$ 1,070"
"66",0.41,"AGSL","VS2","L"," ",61.6,"None",FALSE,"4.76*4.73x2.92","Very good","Australia","Round","Excellent",58,"1","$ 650","$ 1,070"
"69",0.4,"AGSL","VS2","K"," ",62.4,"None",FALSE,"4.71x4.7x2.94","Very good","Russia","Asscher","Excellent",59,"1","$ 655","$ 1,080"
"70",0.4,"GemEx","VS1","L"," ",62,"None",FALSE,"4.75x4.72x2.94","Excellent","Russia","Round","Very good",57,"1","$ 655","$ 1,080"
"71",0.4,"AGSL","VS1","K"," ",62.9,"None",FALSE,"4.69x4.63x2.93","Very good","Russia","Round","Very good",60,"1","$ 655","$ 1,080"
"72",0.4,"AGSL","VS2","K"," ",60.6,"None",FALSE,"4.8x4.78x2.9","Very good","South Africa","Radiant","Excellent",NA,"1","$ 655","$ 980"
"73",0.4,"AGSL","VVS2","M"," ",62.3,"None",FALSE,"4.75x4.72x2.95","Excellent","Australia","Round","Excellent",57,"1","$ 655","$ 1,080"
"74",0.4,"AGSL","VVS1","L"," ",61.7,NA,FALSE,"4.68x4.66x2.88","Very good","DR Congo","Round","Good",60,"1","$ 660","$ 1,040"
"76",0.41,"AGSL","VS2","K"," ",62.2,"None",FALSE,"4.76x4.73x2.95","Excellent","Australia","Round","Very good",NA,"1","$ 660","$ 1,090"
"77",0.43,"AGSL","SI1","K"," ",61.6,"None",TRUE,"4.87x4.85x2.99","Excellent","Angola","Round","Excellent",NA,"1","$ 660","$ 95"
"79",0.4,"AGSL","VS2","K"," ",61.6,"None",FALSE,"4.78x4.73x2.93","Excellent","Canada","Round","Very good",NA,"1","$ 665","$ 1,095"
"80",0.41,"AGSL","SI1","K"," ",NA,"None",FALSE,"4.86x4.83x2.88","Very good","Russia","Radiant","Excellent",NA,"1","$ 665","$ 1,100"
"81",0.4,"GemEx","VS2","K"," ",61.1,"Strong Bl..",FALSE,"4.77x4.73x2.9","Excellent","Canada","Round","Very good",NA,"1","$ 665","$ 1,095"
"82",0.42,"GemEx","SI1","K"," ",NA,NA,FALSE,"4.83x4.8x3","Very good","Australia","Round","Excellent",NA,"2","$ 665","$ 1,005"
"83",0.4,"AGSL","VVS2","L"," ",63.1,"None",FALSE,"4.7x4.66x2.95","Very good","Botswana","Round","Excellent",57,"1","$ 665","$ 1,050"
"84",0.41,"AGSL","VS2","L"," ",61.7,"None",FALSE,"4.76x4.73x2.93","Excellent","South Africa","Emerald","Excellent",59,"1","$ 665","$ 980"
"85",0.4,"AGSL","VVS2","L"," ",NA,NA,FALSE,"4.74*4.7x2.94","Very good","Botswana","Round","Excellent",57,"1","$ 665","$ 1,005"
"86",0.43,"AGSL","VS2","L"," ",60.9,"None",FALSE,"4.91x4.88x2.98","Very good","DR Congo","Round","Excellent",NA,"1","$ 670","$ 990"
"87",0.41,"AGSL","VS1","L"," ",62.4,"None",FALSE,"4.76x4.71x2.95","Excellent","Botswana","Round","Good",55,"1","$ 670","$ 1,040"
"88",0.42,"AGSL","SI1","K"," ",61.6,"None",FALSE,"4.83x4.8x2.96","Excellent","Russia","Oval","Very good",59,"1","$ 675","$ 1,110"
"89",0.43,"AGSL","SI2","K"," ",62.6,"Faint",TRUE,"4.84x4.8x3.02","Excellent","Angola","Oval","Excellent",56,"1","$ 675","$ 130"
"90",0.42,"AGSL","VVS1","K"," ",62.7,NA,FALSE,"4.8x4.78x3","Very good","Russia","Princess","Excellent",56,"1","$ 675","$ 1,035"
"91",0.4,"AGSL","VS2","K"," ",NA,"None",TRUE,"4.79x4.77x2.9","Very good","Angola","Round","Very good",56,"1","$ 680","$ 115"
"92",0.4,"AGSL","VVS1","L"," ",NA,"None",FALSE,"4.71x4.66x2.92","Excellent","Canada","Round","Very good",NA,"1","$ 680","$ 1,120"
"93",0.43,"AGSL","SI1","K"," ",60.3,"None",FALSE,"4.92x4.89x2.96","Excellent","South Africa","Oval","Excellent",NA,"1","$ 680","$ 1,020"
"94",0.44,"AGSL","VS1","M"," ",NA,"Medium Bl..",FALSE,"4.92x4.89x3.02","Very good","South Africa","Round","Very good",NA,"1","$ 680","$ 1,100"
"95",0.4,"NA","VS1","K"," ",NA,"None",FALSE,"4.72x4.65x2.94","Very good","Botswana","Round","Very good",NA,"1","$ 550","$ 850"
"96",0.4,"AGSL","SI2","J"," ",NA,"Medium Bl..",FALSE,"4.67*4.65x2.93","Excellent","Canada","Round","Very good",NA,"1","$ 685","$ 1,125"
"97",0.44,"AGSL","VS2","L"," ",NA,"Medium Bl..",FALSE,"4.94x4.9x2.98","Very good","DR Congo","Princess","Excellent",60,"1","$ 685","$ 1,065"
"98",0.4,"AGSL","VVS1","K"," ",62.6,"None",FALSE,"4.65x4.63*2.91","Excellent","South Africa","Emerald","Very good",NA,"1","$ 685","$ 1,120"
"99",0.42,"GemEx","VS2","L"," ",62.3,"Faint",FALSE,"4.79x4.77*2.98","Excellent","Canada","Round","Excellent",57,"1","$ 685","$ 1,125"
"100",0.4,"AGSL","I1","F"," ",62.1,"None",FALSE,"4.74x4.69x2.93","Very good","Canada","Round","Very good",NA,"1","$ 685","$ 1,130"
"101",0.4,"AGSL","VVS2","K"," ",62.1,NA,FALSE,"4.69x4.67+2.91","Very good","Angola","Round","Excellent",60,"1","$ 690","$ 1,065"
"103",0.43,"AGSL","SI1","K"," ",62.1,"None",FALSE,"4.86x4.83x3.01","Very good","Other/Unknown","Round","Excellent",57,"1","$ 690","$ 1,135"
"104",0.41,"AGSL","VS2","K"," ",61.7,"Faint",FALSE,"4.77x4.76x2.94","Very good","DR Congo","Princess","Very good",58,"1","$ 690","$ 1,070"
"105",0.42,"AGSL","VS2","K"," ",NA,"Strong Bl..",FALSE,"4.79x4.77x2.98","Excellent","Angola","Round","Excellent",NA,"1","$ 695","$ 1,150"
"106",0.4,"AGSL","VS1","K"," ",62,"None",FALSE,"4.7x4.68x2.91","Excellent","Australia","Round","Very good",60,"1","$ 695","$ 1,140"
"107",0.4,"AGSL","SI2","J"," ",NA,"Faint",FALSE,"4.67x4.66x2.93","Excellent","Russia","Round","Very good",NA,"1","$ 695","$ 1,140"
"108",0.4,"AGSL","SI2","J"," ",64.1,"None",FALSE,"4.6x4.63x2.96"," ","DR Congo","Emerald"," ",56,"1","$ 695","$ 1,020"
"109",0.4,"AGSL","VVS1","K"," ",63.2,"None",FALSE,"4.67x4.64x2.94","Excellent","Australia","Oval","Very good",58,"1","$ 695","$ 1,145"
"110",0.4,"AGSL","VS1","K"," ",62.2,"Faint",FALSE,"4.68x4.66+2.91","Very good","Australia","Round","Very good",59,"1","$ 695","$ 1,140"
"111",0.41,"AGSL","SI2","J"," ",59.3,"None",FALSE,"4.85x4.84x2.87","Excellent","Other/Unknown","Radiant","Excellent",NA,"1","$ 700","$ 1,155"
"112",0.4,"AGSL","SI1","J"," ",62.7,"Strong Bl..",FALSE,"4.67x4.63x2.91","Excellent","Angola","Marwuise","Very good",60,"1","$ 555","$ 1,155"
"113",0.41,"AGSL","VS2","K"," ",60.6,"None",FALSE,"4.84x4.81x2.93","Very good","Botswana","Pear","Excellent",60,"1","$ 700","$ 1,010"
"114",0.42,"AGSL","VVS2","L"," ",59.9,"None",FALSE,"4.91x4.88x2.93","Very good","Australia","Princess","Excellent",58,"1","$ 700","$ 1,150"
"115",0.4,"AGSL","SI1","J"," ",61.8,"Strong Bl..",TRUE,"4.76x4.72x2.93","Very good","Angola","Round","Excellent",58,"1","$ 700","$ 75"
"116",0.43,"AGSL","VVS2","L"," ",62.2,"None",FALSE,"4.84x4.81x3","Very good","Russia","Round","Excellent",57,"1","$ 705","$ 1,160"
"117",0.4,"AGSL","VVS1","K"," ",63.1,"None",FALSE,"4.68x4.66x2.95","Very good","Australia","Princess","Excellent",58,"1","$ 705","$ 1,165"
"118",0.4,"AGSL","VVS1","K"," ",63.5,NA,FALSE,"4.65-4.62*2.95","Very good","Other/Unknown","Pear","Excellent",NA,"1","$ 705","$ 1,135"
"119",0.4,"AGSL","VS2","J"," ",64.8,NA,FALSE,"4.64-4.61x3","Excellent","Russia","Princess","Very good",NA,"1","$ 705","$ 1,165"
"120",0.4,"AGSL","VVS1","K"," ",59,"None",FALSE,"4.82x4.79x2.84","Excellent","Botswana","Oval","Good",NA,"1","$ 705","$ 1,085"
"121",0.4,"AGSL","SI2","J"," ",60.2,"None",FALSE,"4.76x4.73x2.86","Excellent","Botswana","Emerald","Very good",NA,"1","$ 705","$ 1,120"
"122",0.4,"AGSL","SI1","J"," ",63.6,"Strong Bl..",FALSE,"4.67x4.64x2.96","Excellent","Botswana","Round","Very good",57,"1","$ 710","$ 1,130"
"124",0.4,"AGSL","SI2","J"," ",61.4,"None",FALSE,"4.76x4.75x2.92","Very good","Russia","Round","Very good",NA,"1","$ 715","$ 1,175"
"125",0.45,"AGSL","SI1","K"," ",62.2,"Faint",FALSE,"4.92x4.9x3.05","Excellent","Botswana","Round","Excellent",56,"1","$ 715","$ 1,120"
"126",0.4,"AGSL","VS2","J"," ",64.5,"None",FALSE,"4.63x4.62x2.98","Excellent","Russia","Cushion","Very good",NA,"1","$ 715","$ 1,180"
"128",0.4,"AGSL","VS2","J"," ",59.5,"Strong Bl..",FALSE,"4.77x4.8x2.85","Good","Botswana","Pear","Good",62,"1","$ 720","$ 1,025"
"130",0.41,"AGSL","VS1","K"," ",61.8,"Faint",FALSE,"4.79x4.76x2.95","Excellent","Australia","Radiant","Excellent",57,"1","$ 720","$ 1,190"
"132",0.4,"AGSL","VS2","J"," ",64,NA,FALSE,"4.68x4.64x2.98","Very good","Australia","Oval","Very good",55,"1","$ 725","$ 825"
"133",0.4,"AGSL","SI2","I"," ",NA,NA,TRUE,"4.63x4.6x3.04","Excellent","Angola","Round","Very good",NA,"1","$ 725","$ 110"
"134",0.4,"AGSL","VVS1","K"," ",59.6,"None",FALSE,"4.8x4.78x2.86","Very good","Russia","Round","Very good",62,"1","$ 725","$ 1,200"
"135",0.4,"AGSL","VVS1","K"," ",63.1,NA,FALSE,"4.7x4.67x2.96","Very good","Russia","Marquise","Excellent",NA,"1","$ 725","$ 825"
"136",0.4,"GemEx","VS2","J"," ",58.2,"None",FALSE,"4.83x4.8x2.8","Very good","Russia","Round","Very good",NA,"1","$ 725","$ 1,200"
"137",0.41,"AGSL","SI2","I"," ",61.7,"None",FALSE,"4.78x4.75x2.94","Very good","Australia","Marquise","Very good",56,"1","$ 725","$ 1,190"
"139",0.4,"AGSL","SI2","H"," ",64.4,NA,FALSE,"4.59+4.55x2.95","Very good","Russia","Round","Very good",59,"1","$ 730","$ 1,200"
"140",0.4,"AGSL","SI2","H"," ",NA,"None",FALSE,"4.66x4.68x3"," ","Russia","Round"," ",55,"1","$ 730","$ 1,205"
"141",0.41,"NA","SI2","J"," ",61.8,"None",FALSE,"4.8x4.78x2.96","Very good","Australia","Round","Excellent",58,"2","$ 600","$ 955"
"142",0.41,"AGSL","VS1","K"," ",62.4,"None",FALSE,"4.76x4.74x2.96","Very good","Botswana","ROUND","Excellent",56,"1","$ 730","$ 1,125"
"143",0.4,"AGSL","SI1","J"," ",62.9,NA,FALSE,"4.7x4.68x2.95","Very good","South Africa","Round","Very good",NA,"1","$ 730","$ 995"
"144",0.41,"GemEx","SI2","J"," ",NA,"None",FALSE,"4.85x4.82x2.89","Excellent","Russia","Marquise","Very good",58,"1","$ 730","$ 1,205"
"145",0.41,"AGSL","SI1","J"," ",63.7,"Medium Bl..",FALSE,"4.66x4.64x2.96","Very good","DR Congo","Round","Excellent",58,"1","$ 730","$ 1,105"
"146",0.41,"AGSL","SI2","J"," ",63,"Faint",FALSE,"4.74x4.71x2.98","Very good","Russia","Radiant","Very good",55,"2","$ 730","$ 1,205"
"147",0.4,"AGSL","SI2","H"," ",63.5,"None",FALSE,"4.63x4.61x2.93","Very good","Botswana","Round","Good",58,"1","$ 730","$ 1,110"
"148",0.4,"AGSL","SI1","J"," ",62.3,NA,FALSE,"4.73x4.7x2.94","Very good","Botswana","Asscher","Very good",58,"1","$ 730","$ 960"
"149",0.43,"AGSL","VVS2","L"," ",61.8,"Medium Bl..",FALSE,"4.85x4.83x2.99","Excellent","Botswana","Princess","Excellent",57,"1","$ 735","$ 985"
"150",0.41,"AGSL","SI2","I"," ",62.8,"Faint",FALSE,"4.76x4.73x2.98","Excellent","DR Congo","Round","Excellent",56,"1","$ 735","$ 1,135"
"151",0.41,"AGSL","SI2","I"," ",61.7,"Faint",FALSE,"4.81x4.77x2.96","Excellent","Angola","Round","Excellent",56,"1","$ 735","$ 1,210"
"152",0.4,"AGSL","SI1","J"," ",61.2,"None",FALSE,"4.78x4.75x2.92","Excellent","Canada","Radiant","Excellent",59,"1","$ 740","$ 1,225"
"153",0.41,"AGSL","SI2","J"," ",61.7,"None",FALSE,"4.78x4.75x2.94","Very good","Angola","Oval","Excellent",58,"1","$ 740","$ 1,220"
"154",0.41,"AGSL","SI1","J"," ",61.2,"None",FALSE,"4.82x4.79x2.94","Excellent","Russia","Round","Very good",57,"1","$ 740","$ 1,220"
"155",0.4,"AGSL","SI2","I"," ",62.1,"None",FALSE,"4.68*4.67x2.9","Very good","DR Congo","Marwuise","Good",56,"1","$ 635","$ 1,185"
"156",0.4,"AGSL","SI1","J"," ",64,"None",TRUE,"4.66x4.62x2.97","Very good","DR Congo","Round","Very good",58,"1","$ 740","$ 95"
"158",0.45,"AGSL","VVS1","K"," ",62.7,"None",FALSE,"4.91x4.88x3.07","Very good","Russia","Round","Excellent",NA,"1","$ 745","$ 1,230"
"161",0.41,"AGSL","SI1","J"," ",NA,"Medium Bl..",FALSE,"4.76x4.73*2.97","Excellent","Angola","Emerald","Excellent",56,"1","$ 750","$ 1,235"
"164",0.4,"AGSL","SI1","J"," ",NA,"None",FALSE,"4.78x4.74x2.89","Very good","Canada","Emerald","Very good",NA,"1","$ 750","$ 1,240"
"165",0.43,"AGSL","VVS2","K"," ",61.4,"None",FALSE,"4.89x4.86x2.99","Very good","Botswana","ROUND","Very good",58,"1","$ 755","$ 1,050"
"168",0.4,"AGSL","VVS2","J"," ",64.5,NA,FALSE,"4.61x4.59x2.97","Excellent","Botswana","Radiant","Very good",58,"1","$ 755","$ 950"
"169",0.42,"AGSL","VVS1","K"," ",NA,"Strong Bl..",FALSE,"4.81x4.79x2.98","Very good","South Africa","Round","Excellent",NA,"1","$ 755","$ 1,230"
"172",0.4,"AGSL","SI2","G"," ",59.9,"None",FALSE,"4.82x4.79x2.88","Excellent","DR Congo","Princess","Very good",NA,"1","$ 755","$ 1,160"
"173",0.5,"AGSL","I1","J"," ",61.2,"Faint",FALSE,"5.1x5.08x3.12","Excellent","South Africa","Round","Very good",56,"1","$ 755","$ 1,175"
"175",0.4,"AGSL","SI2","I"," ",60.3,NA,FALSE,"4.81x4.78x2.89","Very good","Russia","Round","Very good",57,"1","$ 760","$ 985"
"176",0.42,"AGSL","SI2","J"," ",62.2,"None",TRUE,"4.79x4.78x2.98","Excellent","DR Congo","Round","Very good",61,"1","$ 760","$ 110"
"177",0.4,"AGSL","SI2","G"," ",64.7,"None",FALSE,"4.58x4.6x2.97"," ","Russia","Princess"," ",55,"1","$ 765","$ 1,260"
"180",0.4,"AGSL","SI2","H"," ",62.3,"None",FALSE,"4.73x4.71x2.94","Excellent","South Africa","Round","Very good",57,"1","$ 765","$ 1,060"
"181",0.4,"AGSL","VVS2","J"," ",62.3,NA,FALSE,"4.75x4.7x2.94","Excellent","Russia","Round","Excellent",57,"1","$ 765","$ 780"
"182",0.41,"AGSL","SI2","H"," ",NA,"Faint",FALSE,"4.76x4.73x2.95","Very good","Botswana","Marquise","Very good",56,"1","$ 770","$ 1,260"
"183",0.4,"AGSL","VS2","J"," ",62.4,"None",FALSE,"4.71x4.66x2.93","Excellent","Russia","Princess","Excellent",59,"1","$ 770","$ 1,270"
"184",0.5,"AGSL","SI1","M"," ",NA,"Strong Bl..",FALSE,"5.11x5.07x3.12","Very good","Russia","Radiant","Very good",NA,"1","$ 770","$ 1,270"
"185",0.41,"AGSL","SI1","J"," ",61.8,"None",FALSE,"4.79x4.76x2.95","Excellent","DR Congo","Round","Excellent",57,"1","$ 770","$ 1,145"
"186",0.4,"AGSL","VS2","J"," ",62.2,"None",FALSE,"4.73x4.71x2.94","Excellent","Russia","Round","Very good",NA,"1","$ 770","$ 1,270"
"187",0.4,"AGSL","VS2","J"," ",NA,"Medium Bl..",FALSE,"4.73x4.72x2.94","Excellent","Russia","Emerald","Excellent",NA,"1","$ 770","$ 1,270"
"188",0.42,"AGSL","VVS1","K"," ",NA,"Faint",FALSE,"4.84x4.82x2.96","Excellent","Russia","Princess","Very good",58,"1","$ 775","$ 1,280"
"189",0.4,"AGSL","VVS2","J"," ",63.4,"None",FALSE,"4.69x4.65x2.96","Very good","Australia","Round","Very good",58,"1","$ 775","$ 1,280"
"190",0.4,"AGSL","SI1","J"," ",NA,"Faint",FALSE,"4.8x4.76x2.9","Excellent","Canada","Round","Excellent",58,"1","$ 775","$ 1,275"
"191",0.4,"AGSL","SI2","G"," ",64.1,"Faint",FALSE,"4.66x4.62x2.97","Excellent","Russia","Round","Excellent",58,"1","$ 775","$ 1,280"
"192",0.41,"AGSL","IF","K"," ",NA,NA,FALSE,"4.76x4.73x2.95","Very good","Russia","Round","Very good",NA,"1","$ 780","$ 1,195"
"193",0.41,"AGSL","SI1","J"," ",NA,"Medium Bl..",FALSE,"4.76x4.73X2.96","Excellent","Australia","Round","Excellent",57,"1","$ 780","$ 1,285"
"195",0.41,"AGSL","SI1","J"," ",61.6,NA,FALSE,"4.81x4.79x2.96","Very good","South Africa","Round","Excellent",NA,"1","$ 780","$ 1,060"
"196",0.41,"AGSL","SI1","J"," ",61.7,"None",FALSE,"4.79*4.77x2.95","Excellent","South Africa","Round","Excellent",57,"1","$ 780","$ 955"
"197",0.4,"AGSL","SI1","I"," ",63.5,"Faint",FALSE,"4.63*4.61x2.94","Excellent","Russia","Round","Very good",59,"1","$ 785","$ 1,295"
"198",0.51,"AGSL","I1","J"," ",61.7,"None",FALSE,"5.14x5.11x3.16","Very good","South Africa","Princess","Very good",57,"1","$ 785","$ 1,240"
"199",0.43,"AGSL","SI1","J"," ",NA,"Strong Bl..",FALSE,"4.83x4.81x2.98","Very good","Russia","Round","Excellent",59,"1","$ 785","$ 1,295"
"200",0.4,"AGSL","SI2","F"," ",63.4,"Medium Bl..",FALSE,"4.69x4.64x2.95","Very good","Russia","Princess","Very good",NA,"1","$ 785","$ 1,300"
"201",0.4,"GemEx","VVS1","J"," ",63.9,NA,FALSE,"4.68x4.65x2.99","Excellent","Russia","Princess","Very good",54,"1","$ 785","$ 950"
"202",0.4,"AGSL","SI1","I"," ",63,"Medium Bl..",FALSE,"4.71x4.67x2.95","Excellent","Russia","Round","Excellent",57,"1","$ 785","$ 1,295"
"203",0.4,"AGSL","SI2","F"," ",64.5,"None",FALSE,"4.64x4.62x2.98","Very good","Australia","Round","Very good",57,"1","$ 785","$ 1,300"
"205",0.43,"NA","SI2","J"," ",59.1,"None",FALSE,"4.94x4.93x2.92","Excellent","Canada","Radiant","Excellent",60,"1","$ 570","$ 955"
